timestamp,component,metric,value,label.profile,label.run_id,label.provider,label.target_rate,elapsed_s
2026-08-10 16:50:59.760192+00:00,detector,queue_wait_ms,23.003173828125,attack_surge,0e4272c8-ad8f-44a3-b965-76b0ccd76496,,,0.16
2026-08-10 16:50:59.760192+00:00,detector,stage_latency_ms,18.96889999989071,attack_surge,0e4272c8-ad8f-44a3-b965-76b0ccd76496,,,0.16
2026-08-10 16:50:59.760192+00:00,detector,throughput_eps,41.65035361138398,attack_surge,0e4272c8-ad8f-44a3-b965-76b0ccd76496,,,0.16
2026-08-10 16:50:59.761189+00:00,detector,end_to_end_latency_ms,41.946533203125,attack_surge,0e4272c8-ad8f-44a3-b965-76b0ccd76496,,,0.16
2026-08-10 16:50:59.761189+00:00,orchestrator,events_processed,1.0,attack_surge,0e4272c8-ad8f-44a3-b965-76b0ccd76496,,,0.16
2026-08-10 16:50:59.761658+00:00,orchestrator,throughput_eps,0.2,attack_surge,0e4272c8-ad8f-44a3-b965-76b0ccd76496,,,0.16
2026-08-10 16:50:59.761658+00:00,generator,events_sent,21.0,attack_surge,0e4272c8-ad8f-44a3-b965-76b0ccd76496,,,0.16
2026-08-10 16:50:59.761658+00:00,orchestrator,queue_wait_ms,2.998291015625,attack_surge,0e4272c8-ad8f-44a3-b965-76b0ccd76496,,,0.16
2026-08-10 16:50:59.762191+00:00,orchestrator,xai_latency_ms,0.002300001142430119,attack_surge,0e4272c8-ad8f-44a3-b965-76b0ccd76496,deterministic,,0.16
2026-08-10 16:50:59.762191+00:00,orchestrator,stage_latency_ms,25.052499999219435,attack_surge,0e4272c8-ad8f-44a3-b965-76b0ccd76496,,,0.16
2026-08-10 16:50:59.762191+00:00,orchestrator,end_to_end_latency_ms,157.942626953125,attack_surge,0e4272c8-ad8f-44a3-b965-76b0ccd76496,,,0.16
2026-08-10 16:50:59.764191+00:00,generator,events_sent,22.0,attack_surge,0e4272c8-ad8f-44a3-b965-76b0ccd76496,,,0.16
2026-08-10 16:50:59.764191+00:00,generator,throughput_eps,441.04952985746996,attack_surge,0e4272c8-ad8f-44a3-b965-76b0ccd76496,,,0.16
2026-08-10 16:50:59.765189+00:00,orchestrator,events_received,2.0,attack_surge,0e4272c8-ad8f-44a3-b965-76b0ccd76496,,,0.16
2026-08-10 16:50:59.766191+00:00,generator,events_sent,23.0,attack_surge,0e4272c8-ad8f-44a3-b965-76b0ccd76496,,,0.16
2026-08-10 16:50:59.766191+00:00,generator,throughput_eps,440.60715665904087,attack_surge,0e4272c8-ad8f-44a3-b965-76b0ccd76496,,,0.16
2026-08-10 16:50:59.768191+00:00,generator,events_sent,24.0,attack_surge,0e4272c8-ad8f-44a3-b965-76b0ccd76496,,,0.17
2026-08-10 16:50:59.768191+00:00,generator,throughput_eps,442.65415430227654,attack_surge,0e4272c8-ad8f-44a3-b965-76b0ccd76496,,,0.17
2026-08-10 16:50:59.770190+00:00,generator,events_sent,25.0,attack_surge,0e4272c8-ad8f-44a3-b965-76b0ccd76496,,,0.17
2026-08-10 16:50:59.770190+00:00,generator,throughput_eps,444.8266658786771,attack_surge,0e4272c8-ad8f-44a3-b965-76b0ccd76496,,,0.17
2026-08-10 16:50:59.772192+00:00,generator,throughput_eps,447.64681024339046,attack_surge,0e4272c8-ad8f-44a3-b965-76b0ccd76496,,,0.17
2026-08-10 16:50:59.772192+00:00,generator,events_sent,26.0,attack_surge,0e4272c8-ad8f-44a3-b965-76b0ccd76496,,,0.17
2026-08-10 16:50:59.774192+00:00,generator,events_sent,27.0,attack_surge,0e4272c8-ad8f-44a3-b965-76b0ccd76496,,,0.17
2026-08-10 16:50:59.774192+00:00,generator,throughput_eps,450.3654022367421,attack_surge,0e4272c8-ad8f-44a3-b965-76b0ccd76496,,,0.17
2026-08-10 16:50:59.776192+00:00,generator,events_sent,28.0,attack_surge,0e4272c8-ad8f-44a3-b965-76b0ccd76496,,,0.17
2026-08-10 16:50:59.776192+00:00,generator,throughput_eps,452.8324670861243,attack_surge,0e4272c8-ad8f-44a3-b965-76b0ccd76496,,,0.17
2026-08-10 16:50:59.778192+00:00,generator,events_sent,29.0,attack_surge,0e4272c8-ad8f-44a3-b965-76b0ccd76496,,,0.18
2026-08-10 16:50:59.778192+00:00,generator,throughput_eps,455.2275568733631,attack_surge,0e4272c8-ad8f-44a3-b965-76b0ccd76496,,,0.18
2026-08-10 16:50:59.780190+00:00,detector,events_processed,3.0,attack_surge,0e4272c8-ad8f-44a3-b965-76b0ccd76496,,,0.18
2026-08-10 16:50:59.780190+00:00,generator,throughput_eps,456.87638342477237,attack_surge,0e4272c8-ad8f-44a3-b965-76b0ccd76496,,,0.18
2026-08-10 16:50:59.780190+00:00,generator,events_sent,30.0,attack_surge,0e4272c8-ad8f-44a3-b965-76b0ccd76496,,,0.18
2026-08-10 16:50:59.781189+00:00,detector,alerts_emitted,3.0,attack_surge,0e4272c8-ad8f-44a3-b965-76b0ccd76496,,,0.18
2026-08-10 16:50:59.781189+00:00,detector,throughput_eps,44.457880603720135,attack_surge,0e4272c8-ad8f-44a3-b965-76b0ccd76496,,,0.18
2026-08-10 16:50:59.781189+00:00,detector,queue_wait_ms,40.94189453125,attack_surge,0e4272c8-ad8f-44a3-b965-76b0ccd76496,,,0.18
2026-08-10 16:50:59.782191+00:00,detector,stage_latency_ms,19.123099998978432,attack_surge,0e4272c8-ad8f-44a3-b965-76b0ccd76496,,,0.18
2026-08-10 16:50:59.782191+00:00,detector,end_to_end_latency_ms,59.94287109375,attack_surge,0e4272c8-ad8f-44a3-b965-76b0ccd76496,,,0.18
2026-08-10 16:50:59.782191+00:00,generator,events_sent,31.0,attack_surge,0e4272c8-ad8f-44a3-b965-76b0ccd76496,,,0.18
2026-08-10 16:50:59.782954+00:00,generator,throughput_eps,456.38343511033213,attack_surge,0e4272c8-ad8f-44a3-b965-76b0ccd76496,,,0.18
2026-08-10 16:50:59.784191+00:00,generator,throughput_eps,456.9009733464432,attack_surge,0e4272c8-ad8f-44a3-b965-76b0ccd76496,,,0.18
2026-08-10 16:50:59.784191+00:00,generator,events_sent,32.0,attack_surge,0e4272c8-ad8f-44a3-b965-76b0ccd76496,,,0.18
2026-08-10 16:50:59.786190+00:00,generator,events_sent,33.0,attack_surge,0e4272c8-ad8f-44a3-b965-76b0ccd76496,,,0.18
2026-08-10 16:50:59.786190+00:00,generator,throughput_eps,458.59266509152184,attack_surge,0e4272c8-ad8f-44a3-b965-76b0ccd76496,,,0.18
